[2025-12-05 11:22:34] [INFO] 服务器信息保存成功 | 数据: {"id":"107"}
[2025-12-05 11:31:37] [INFO] 服务器信息保存成功 | 数据: {"id":"108"}
[2025-12-05 19:44:09] [ERROR] 数据库错误: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'server_cred_created_by' in 'field list'
[2025-12-05 19:44:09] [ERROR] 服务器信息保存失败: 数据库操作错误，请稍后重试 | 数据: {"errorCode":"DATABASE_ERROR"}
[2025-12-05 19:47:34] [INFO] 字段 server_cred_created_by 添加成功
[2025-12-05 19:47:34] [INFO] 服务器信息保存成功 | 数据: {"id":"109"}
[2025-12-05 19:58:41] [INFO] 服务器信息保存成功 | 数据: {"id":"110"}
[2025-12-10 17:48:28] [INFO] 服务器信息保存成功 | 数据: {"id":"263"}
[2025-12-10 17:48:29] [INFO] 服务器信息保存成功 | 数据: {"id":"264"}
[2025-12-10 17:48:29] [INFO] 服务器信息保存成功 | 数据: {"id":"265"}
[2025-12-10 17:48:29] [INFO] 服务器信息保存成功 | 数据: {"id":"266"}
[2025-12-10 17:48:30] [INFO] 服务器信息保存成功 | 数据: {"id":"267"}
[2025-12-10 17:48:30] [INFO] 服务器信息保存成功 | 数据: {"id":"268"}
[2025-12-10 17:48:30] [INFO] 服务器信息保存成功 | 数据: {"id":"269"}
[2025-12-10 17:48:31] [INFO] 服务器信息保存成功 | 数据: {"id":"270"}
[2025-12-10 17:48:31] [INFO] 服务器信息保存成功 | 数据: {"id":"271"}
[2025-12-10 17:48:32] [INFO] 服务器信息保存成功 | 数据: {"id":"272"}
[2025-12-10 17:48:32] [INFO] 服务器信息保存成功 | 数据: {"id":"273"}
[2025-12-10 17:48:33] [INFO] 服务器信息保存成功 | 数据: {"id":"274"}
[2025-12-10 17:48:34] [INFO] 服务器信息保存成功 | 数据: {"id":"275"}
[2025-12-10 17:48:34] [INFO] 服务器信息保存成功 | 数据: {"id":"276"}
[2025-12-10 17:48:34] [INFO] 服务器信息保存成功 | 数据: {"id":"277"}
[2025-12-10 17:48:35] [INFO] 服务器信息保存成功 | 数据: {"id":"278"}
[2025-12-10 17:48:35] [INFO] 服务器信息保存成功 | 数据: {"id":"279"}
[2025-12-10 17:48:35] [INFO] 服务器信息保存成功 | 数据: {"id":"280"}
[2025-12-10 17:48:36] [INFO] 服务器信息保存成功 | 数据: {"id":"281"}
[2025-12-10 17:48:36] [INFO] 服务器信息保存成功 | 数据: {"id":"282"}
[2025-12-10 17:48:36] [INFO] 服务器信息保存成功 | 数据: {"id":"283"}
[2025-12-10 17:48:37] [INFO] 服务器信息保存成功 | 数据: {"id":"284"}
[2025-12-10 17:48:37] [INFO] 服务器信息保存成功 | 数据: {"id":"285"}
[2025-12-10 17:48:37] [INFO] 服务器信息保存成功 | 数据: {"id":"286"}
[2025-12-10 17:48:38] [INFO] 服务器信息保存成功 | 数据: {"id":"287"}
[2025-12-10 17:48:38] [INFO] 服务器信息保存成功 | 数据: {"id":"288"}
[2025-12-10 17:48:39] [INFO] 服务器信息保存成功 | 数据: {"id":"289"}
[2025-12-10 17:48:39] [INFO] 服务器信息保存成功 | 数据: {"id":"290"}
[2025-12-10 17:48:39] [INFO] 服务器信息保存成功 | 数据: {"id":"291"}
[2025-12-10 17:48:40] [INFO] 服务器信息保存成功 | 数据: {"id":"292"}
[2025-12-10 17:48:40] [INFO] 服务器信息保存成功 | 数据: {"id":"293"}
[2025-12-10 17:48:41] [INFO] 服务器信息保存成功 | 数据: {"id":"294"}
